start_date,end_date,start_idx,end_idx,composite,pearson,dtw_distance,dtw_sim,pct_corr,rank
1990-03-30,1997-09-26,12,403,0.6847244255958214,0.9084100040197445,2418,0.7523831737920236,0.06302906479864026,1
1990-01-05,1997-07-03,0,391,0.6841915332183243,0.9308267245460188,2146,0.7528469235246417,0.009115419694956687,2
1990-02-02,1997-08-01,4,395,0.677963608391572,0.9214286773245448,2249,0.7523448674157911,-0.05941798949133982,3
1990-07-20,1998-01-16,28,419,0.6776104892577713,0.9041614734534419,3141,0.7209468940262196,0.09203206647272864,4
1990-03-02,1997-08-29,8,399,0.6753226535697754,0.9133131373811111,2300,0.7552335478522154,-0.03383780147308913,5
1990-05-25,1997-11-21,20,411,0.6728626813766333,0.903634023255696,2750,0.7382825454914165,0.03914239994787206,6
1990-04-27,1997-10-24,16,407,0.6670765132565317,0.903416468566946,2600,0.7443974354325886,-0.03726224226992876,7
1990-06-22,1997-12-19,24,415,0.662038493127456,0.9031600361519948,2938,0.7303327910258809,-0.07191343837872115,8
1990-08-17,1998-02-13,32,423,0.6538991862827664,0.90323815172797,3514,0.7008640174815516,0.010698059433184809,9
1990-10-12,1998-04-09,40,431,0.6479764756549642,0.8960325926200114,4120,0.6781551614189715,0.037037512396595064,10
1990-09-14,1998-03-13,36,427,0.6467260914826333,0.9004384092522241,3792,0.6900823066260928,-0.0010915094728468583,11
1990-12-07,1998-06-05,48,439,0.6418468968644648,0.8871437184978499,4779,0.6551973126352341,0.06656582059050241,12
1990-11-09,1998-05-08,44,435,0.6352881305401433,0.8915729369827258,4449,0.6666839716631597,0.0037045940790540275,13
1991-03-01,1998-08-28,60,451,0.6302291844147223,0.8875086459624509,5952,0.614175608839933,0.07944415318821386,14
1991-01-04,1998-07-02,52,443,0.6234309980789139,0.8853001009650765,5137,0.6429884361275129,-0.035567161927300715,15
1991-02-01,1998-07-31,56,447,0.6191163972778948,0.8852443802880354,5523,0.6307326461379396,-0.0844967253517852,16
1991-04-26,1998-10-23,68,459,0.6138190755525291,0.8938042104814099,6533,0.5938584484103959,0.018783619461280526,17
1991-03-28,1998-09-25,64,455,0.610939802567467,0.8894224901769796,6277,0.6019990913937893,-0.015704197210457526,18
1991-05-24,1998-11-20,72,463,0.6090760444238537,0.9000519091403173,6912,0.5830076723163169,-0.015869116116937435,19
1991-06-21,1998-12-18,76,467,0.60842317584857,0.9032528584757205,7345,0.5715333211616523,0.00961363563958748,20
1991-07-19,1999-01-15,80,471,0.6064733133721217,0.9015589358177115,7990,0.5534968912415789,0.0352394015979948,21
1991-09-13,1999-03-12,88,479,0.6001853600887112,0.8969390865655368,8998,0.5311710859708753,0.05326445522206634,22
1991-08-16,1999-02-12,84,475,0.5938396189233038,0.8979411191004522,8486,0.5421889009374297,-0.06718302635008173,23
1991-11-08,1999-05-07,96,487,0.591388090773664,0.8994970846111612,10271,0.5046605250781875,0.04991609460637905,24
1991-10-11,1999-04-09,92,483,0.5850494031895255,0.8970826781949771,9606,0.5181777085765309,-0.028904171001039515,25
1991-12-06,1999-06-04,100,491,0.5760622772025547,0.9015125371594173,11067,0.48680467280233386,-0.035631122170380336,26
1992-03-27,1999-09-24,116,507,0.5755817791084521,0.9108689714612943,14883,0.41007480922315176,0.11082279361383285,27
1992-02-28,1999-08-27,112,503,0.566306400659889,0.910590212796034,14020,0.42568056977036506,0.03776302741022985,28
1992-01-03,1999-07-02,104,495,0.5661607339522325,0.9048719283579567,12408,0.4541953319747199,-0.016537442635890614,29
1992-01-31,1999-07-30,108,499,0.5648265648696043,0.908461860250676,13196,0.4409103914728639,0.008500453706488281,30
1992-04-24,1999-10-22,120,511,0.5476377753819792,0.9111307251490225,15785,0.3932255687569118,-0.02698339708021434,31
1992-05-22,1999-11-19,124,515,0.5450709940476012,0.9125252440244016,16730,0.3785249285658184,0.009754546192919667,32
1992-10-09,2000-04-07,144,535,0.542500688076146,0.9144718062490115,21844,0.3106949753507393,0.11122566945666074,33
1992-06-19,1999-12-17,128,519,0.5385509802639306,0.9138469919105823,17745,0.36377095401191023,-0.059389751110378204,34
1992-08-14,2000-02-11,136,527,0.5350616627975227,0.912400421439023,19792,0.33606447689051994,0.034294531191401925,35
1992-07-17,2000-01-14,132,523,0.533532635925188,0.9142277038408161,18835,0.34894334056234483,-0.0011836248110109202,36
1992-09-11,2000-03-10,140,531,0.5318258963329239,0.911265173554145,20733,0.3231830179377957,0.04321255977665052,37
1992-11-06,2000-05-05,148,539,0.5194016564459963,0.9170577270627772,23293,0.2915517124619266,0.023412899530361034,38
1992-12-04,2000-06-02,152,543,0.50954275508213,0.916393684261469,24635,0.2753184913388121,0.004020625979423391,39
1992-12-31,2000-06-30,156,547,0.5075638492734131,0.9145793342213896,25683,0.26471117050892545,0.0167711959783194,40
1993-02-26,2000-08-25,164,555,0.5020472863383804,0.9146423023114186,27980,0.24274205406260596,0.027492656881649643,41
1993-01-29,2000-07-28,160,551,0.5000161326721994,0.91439129059466,26865,0.2529715768702925,-0.08815260972817072,42
1993-04-23,2000-10-20,172,563,0.49924301349539785,0.9124360287196699,29951,0.22487481337459936,0.049703079452183156,43
1993-07-16,2001-01-12,184,575,0.49390884006848496,0.9091066693998651,32737,0.19725518647476595,0.07885761786188794,44
1993-08-13,2001-02-09,188,579,0.4930852567082229,0.9071954135175441,33585,0.18920820794534796,0.09312223922228148,45
